onset	duration	nwb_table	Run	TrialNumber	finger	hand	finger_type	cue_on_time	cue_off_time	go_on_time
26.902345999999998	259.342	epochs	0							
26.902345999999998	3.6502000000000017	trials	0	1.0	Li	L	i	26.972545999999998	28.08257933333333	29.42257933333333
30.552546	5.439233333333334	trials	0	2.0	Ri	R	i	32.152546	33.252545999999995	34.862746
35.991779333333334	4.919999999999995	trials	0	3.0	Rm	R	m	37.57171266666667	38.681746	39.82177933333333
40.91177933333333	5.370200000000011	trials	0	4.0	Lm	L	m	42.512012666666664	43.631979333333334	45.182146
46.28197933333333	5.130166666666668	trials	0	5.0	Lr	L	r	47.912146	49.012146	50.272146
51.412146	5.099199999999996	trials	0	6.0	Rr	R	r	53.03231266666667	54.111146000000005	55.39114599999999
56.511346	5.320166666666658	trials	0	7.0	Rp	R	p	58.091346	59.20857933333333	60.70154599999999
61.83151266666667	5.2000666666666575	trials	0	8.0	Lp	L	p	63.411579333333336	64.521346	65.92157933333333
67.03157933333333	5.269200000000012	trials	0	9.0	Rt	R	t	68.612146	69.72157933333334	71.16057933333333
72.30077933333334	5.259999999999991	trials	0	10.0	Lt	L	t	73.900746	75.01077933333333	76.45101266666667
77.56077933333333	5.3602333333333405	trials	0	11.0	Ri	R	i	79.15091266666667	80.25101266666667	81.80101266666667
82.92101266666667	5.060133333333326	trials	0	12.0	Lr	L	r	84.50114599999999	85.621146	86.871146
87.981146	5.139200000000002	trials	0	13.0	Rt	R	t	89.590146	90.690146	91.99031266666667
93.120346	5.0	trials	0	14.0	Rp	R	p	94.700346	95.82031266666667	97.007546
98.120346	5.350200000000001	trials	0	15.0	Lp	L	p	99.71051266666667	100.81057933333334	102.35057933333333
103.470546	5.079599999999999	trials	0	16.0	Rr	R	r	105.06057933333334	106.15957933333334	107.409746
108.550146	5.359633333333335	trials	0	17.0	Li	L	i	110.145746	111.259746	112.80001266666667
113.90977933333333	5.26036666666667	trials	0	18.0	Lm	L	m	115.48977933333333	116.59977933333333	118.04977933333333
119.170146	5.108999999999995	trials	0	19.0	Lt	L	t	120.76001266666667	121.869946	123.169146
124.279146	5.409999999999997	trials	0	20.0	Rm	R	m	125.859146	126.979146	128.569146
