onset	duration	nwb_table	Run	TrialNumber	finger	hand	finger_type	cue_on_time	cue_off_time	go_on_time
163.54532999999998	339.22740000000005	epochs	0							
163.54532999999998	4.792466666666684	trials	0	1.0	Lm	L	m	163.58469666666664	165.18563	166.24556333333334
168.36482999999998	6.900466666666688	trials	0	2.0	Rr	R	r	170.44526333333332	172.10583	173.19579666666667
175.30562999999998	6.839700000000022	trials	0	3.0	Rp	R	p	177.40483	179.00553	180.07526333333334
182.17562999999998	6.749566666666681	trials	0	4.0	Rm	R	m	184.27562999999998	185.87502999999998	186.84546333333333
188.96523	6.660166666666669	trials	0	5.0	Lr	L	r	191.0650633333333	192.66503	193.53563
195.66472999999996	6.810000000000059	trials	0	6.0	Li	L	i	197.76483	199.36506333333332	200.40483
202.51506333333333	6.839266666666674	trials	0	7.0	Lt	L	t	204.6052633333333	206.20503	207.27526333333333
209.37512999999998	6.890500000000003	trials	0	8.0	Ri	R	i	211.46463	213.10433	214.19823
216.30526333333333	6.870066666666673	trials	0	9.0	Rt	R	t	218.39553	220.00483	221.09469666666666
223.20469666666668	6.709933333333311	trials	0	10.0	Lp	L	p	225.29499666666666	226.91463	227.83483
229.94546333333335	6.818866666666622	trials	0	11.0	Rr	R	r	232.03479666666667	233.65503	234.66492999999997
236.80496333333332	6.899566666666658	trials	0	12.0	Rt	R	t	238.89503000000002	240.49463	241.6249633333333
243.73462999999998	6.840133333333341	trials	0	13.0	Li	L	i	245.81469666666663	247.47539666666665	248.50533
250.60483	6.630233333333308	trials	0	14.0	Lr	L	r	252.69482999999997	254.30463	255.16426333333334
257.26482999999996	6.749866666666719	trials	0	15.0	Rm	R	m	259.35483	260.96499666666665	261.93473
264.05483	6.779699999999991	trials	0	16.0	Rp	R	p	266.13503	267.80463	268.76463
270.88423	6.760333333333335	trials	0	17.0	Lm	L	m	272.99463000000003	274.59483	275.56483000000003
277.68462999999997	6.8799000000000206	trials	0	18.0	Ri	R	i	279.76506333333333	281.42422999999997	282.4944966666667
284.59963	6.7450000000000045	trials	0	19.0	Lt	L	t	286.7047633333333	288.35433	289.26423
291.3844966666667	6.949966666666683	trials	0	20.0	Lp	L	p	293.47463	295.1242633333333	296.26456333333334
298.3636633333333	6.650966666666704	trials	0	21.0	Lm	L	m	300.45456333333334	302.05463	302.9342633333333
305.04469666666665	6.849066666666602	trials	0	22.0	Lt	L	t	307.13463	308.73443	309.8244966666666
311.93506333333335	6.769199999999955	trials	0	23.0	Lp	L	p	314.02449666666666	315.6142633333333	316.6342633333333
318.75463	6.869500000000016	trials	0	24.0	Ri	R	i	320.8339966666667	322.4841633333333	323.5542633333333
