onset	duration	nwb_table	Run	TrialNumber	finger	hand	finger_type	cue_on_time	cue_off_time	go_on_time
169.908005	294.20043333333336	epochs	0							
169.908005	3.9496000000000038	trials	0	1.0	Rr	R	r	170.03743833333334	171.64743833333335	172.74743833333335
173.857605	5.919033333333317	trials	0	2.0	Ri	R	i	175.95663833333333	177.56663833333334	178.666605
179.77663833333335	5.920366666666666	trials	0	3.0	Rt	R	t	181.87663833333335	183.48687166666667	184.576805
185.69700500000002	5.909999999999997	trials	0	4.0	Rm	R	m	187.797005	189.397005	190.497005
191.60700500000002	5.929200000000009	trials	0	5.0	Lm	L	m	193.716005	195.316205	196.41620500000002
197.536205	5.930233333333348	trials	0	6.0	Li	L	i	199.63620500000002	201.236205	202.35620500000002
203.46643833333334	5.900000000000006	trials	0	7.0	Lr	L	r	205.54643833333336	207.15643833333334	208.27643833333335
209.36643833333335	5.919199999999989	trials	0	8.0	Rp	R	p	211.465605	213.07563833333336	214.17560500000002
215.28563833333334	5.920366666666666	trials	0	9.0	Lt	L	t	217.38563833333333	218.99563833333335	220.09563833333334
221.206005	5.949999999999989	trials	0	10.0	Lp	L	p	223.32587166666667	224.926005	226.046005
227.156005	5.919200000000046	trials	0	11.0	Ri	R	i	229.255005	230.865005	231.95563833333335
233.075205	5.900000000000006	trials	0	12.0	Lt	L	t	235.175205	236.77520500000003	237.865205
238.97520500000002	5.920433333333335	trials	0	13.0	Rm	R	m	241.07543833333335	242.685405	243.78540500000003
244.89563833333335	5.918933333333314	trials	0	14.0	Lr	L	r	246.99443833333333	248.604605	249.70443833333334
250.81457166666667	5.95029999999997	trials	0	15.0	Lm	L	m	252.9145716666667	254.53463833333336	255.63463833333333
256.7648716666667	5.930133333333345	trials	0	16.0	Li	L	i	258.86487166666666	260.475005	261.585005
262.69500500000004	5.9389999999999645	trials	0	17.0	Lp	L	p	264.804005	266.404005	267.524005
268.634005	5.9202000000000226	trials	0	18.0	Rr	R	r	270.714205	272.344205	273.43463833333334
274.554205	5.8992000000000075	trials	0	19.0	Rp	R	p	276.634205	278.224205	279.34443833333336
280.453405	5.980033333333381	trials	0	20.0	Rt	R	t	282.63343833333334	284.233005	285.32343833333334
286.43343833333336	5.940200000000004	trials	0	21.0	Rr	R	r	288.5536383333333	290.1636383333333	291.26363833333335
292.37363833333336	5.919233333333352	trials	0	22.0	Lp	L	p	294.47383833333333	296.08363833333334	297.19383833333336
298.29287166666666	5.950133333333383	trials	0	23.0	Rp	R	p	300.39273833333334	302.00300500000003	303.11300500000004
304.24300500000004	5.920199999999966	trials	0	24.0	Lm	L	m	306.343005	307.953005	309.0531716666667
310.163205	5.968999999999994	trials	0	25.0	Li	L	i	312.293205	313.903205	315.023205
316.132205	5.9003999999999905	trials	0	26.0	Ri	R	i	318.212405	319.822405	320.93263833333333
322.032605	5.910033333333331	trials	0	27.0	Rm	R	m	324.1226383333333	325.72263833333335	326.80263833333333
327.9426383333333	5.9298	trials	0	28.0	Lr	L	r	330.03263833333335	331.64263833333337	332.74283833333334
333.8724383333333	5.899566666666715	trials	0	29.0	Rt	R	t	335.9718716666667	337.572005	338.662005
339.77200500000004	5.899999999999977	trials	0	30.0	Lt	L	t	341.852005	343.462005	344.562005
345.672005	5.9191999999999325	trials	0	31.0	Rr	R	r	347.79220499999997	349.392205	350.491405
351.591205	5.94023333333331	trials	0	32.0	Ri	R	i	353.69120499999997	355.30140500000005	356.4114383333333
357.5314383333333	5.93020000000007	trials	0	33.0	Lm	L	m	359.63143833333334	361.23143833333336	362.35143833333336
363.4616383333333	5.918966666666677	trials	0	34.0	Lr	L	r	365.56163833333335	367.17163833333336	368.27063833333335
369.380605	5.960399999999993	trials	0	35.0	Rm	R	m	371.5008716666667	373.10087166666665	374.22083833333335
375.341005	5.910000000000025	trials	0	36.0	Li	L	i	377.431005	379.04100500000004	380.141005
381.251005	5.919199999999989	trials	0	37.0	Rp	R	p	383.351005	384.951205	386.051205
387.170205	5.90023333333329	trials	0	38.0	Lp	L	p	389.250205	390.860205	391.960205
393.0704383333333	5.920000000000073	trials	0	39.0	Lt	L	t	395.1704383333333	396.78043833333334	397.88043833333336
398.9904383333334	5.91933333333327	trials	0	40.0	Rt	R	t	401.090605	402.690605	403.79963833333335
404.90977166666664	5.920066666666685	trials	0	41.0	Ri	R	i	407.009605	408.6098383333333	409.7096383333334
410.8298383333333	5.930166666666651	trials	0	42.0	Lr	L	r	412.92983833333335	414.530005	415.650005
416.760005	5.919200000000046	trials	0	43.0	Lm	L	m	418.860005	420.46900500000004	421.569005
422.679205	5.900433333333297	trials	0	44.0	Rr	R	r	424.779205	426.369205	427.469205
428.5796383333333	5.919800000000009	trials	0	45.0	Rm	R	m	430.659405	432.28943833333335	433.3894383333333
434.49943833333333	5.919199999999989	trials	0	46.0	Lt	L	t	436.579605	438.1885383333333	439.2886383333333
440.4186383333333	5.920000000000016	trials	0	47.0	Lp	L	p	442.51863833333334	444.118605	445.21863833333333
446.33863833333334	5.920366666666666	trials	0	48.0	Li	L	i	448.43887166666667	450.03883833333333	451.139005
452.259005	5.9290000000000305	trials	0	49.0	Rt	R	t	454.359005	455.958005	457.078005
458.18800500000003	5.920433333333335	trials	0	50.0	Rp	R	p	460.288205	461.898205	462.998205
513.318946	294.19939999999997	epochs	1							
513.318946	3.9986000000000104	trials	1	1.0	Rp	R	p	513.467546	515.067546	516.187546
517.317546	5.920233333333272	trials	1	2.0	Lp	L	p	519.417546	521.017746	522.1177793333333
523.2377793333333	5.929200000000037	trials	1	3.0	Rr	R	r	525.3367793333333	526.9367793333333	528.0569793333333
529.1669793333333	5.940200000000004	trials	1	4.0	Lm	L	m	531.2869126666667	532.8869793333333	533.996946
535.1071793333333	5.900166666666564	trials	1	5.0	Lt	L	t	537.2071793333333	538.8072126666666	539.9071793333333
541.007346	5.9389999999999645	trials	1	6.0	Lr	L	r	543.106346	544.7263459999999	545.826346
546.946346	5.9302000000000135	trials	1	7.0	Rm	R	m	549.046346	550.646546	551.766546
552.876546	5.9202000000000226	trials	1	8.0	Rt	R	t	554.9765126666666	556.586546	557.6967793333333
558.796746	5.9092333333333045	trials	1	9.0	Li	L	i	560.8757793333333	562.4857793333333	563.5857793333333
564.7059793333333	5.910000000000082	trials	1	10.0	Ri	R	i	566.7957793333333	568.4059793333333	569.505946
570.6159793333333	5.930233333333376	trials	1	11.0	Rm	R	m	572.7159793333333	574.3161793333334	575.4362126666666
576.5462126666666	5.939133333333416	trials	1	12.0	Lr	L	r	578.655346	580.2553459999999	581.375346
582.4853459999999	5.920166666666773	trials	1	13.0	Lp	L	p	584.585346	586.185346	587.295346
588.4055126666666	5.920033333333436	trials	1	14.0	Lm	L	m	590.505546	592.105546	593.215546
594.325546	5.899233333333314	trials	1	15.0	Rr	R	r	596.4247459999999	598.0247793333333	599.1057793333333
600.2247793333333	5.92016666666666	trials	1	16.0	Rp	R	p	602.3247793333333	603.9247793333333	605.034946
606.144946	5.920266666666635	trials	1	17.0	Ri	R	i	608.2449793333333	609.8449459999999	610.9449793333333
612.0652126666666	5.929133333333311	trials	1	18.0	Lt	L	t	614.1642126666667	615.7642126666666	616.8842126666666
617.994346	5.920000000000073	trials	1	19.0	Li	L	i	620.094346	621.704346	622.804346
623.914346	5.900199999999927	trials	1	20.0	Rt	R	t	626.0145126666666	627.614546	628.7145459999999
629.814546	5.919233333333409	trials	1	21.0	Li	L	i	631.933546	633.533546	634.615546
635.7337793333334	5.900199999999927	trials	1	22.0	Ri	R	i	637.8137793333333	639.4237793333333	640.5237793333333
641.6339793333333	5.919999999999959	trials	1	23.0	Lt	L	t	643.7339793333333	645.3439793333333	646.443946
647.5539793333332	5.969366666666815	trials	1	24.0	Rr	R	r	649.6529793333333	651.2632126666666	652.3931793333334
653.523346	5.910000000000082	trials	1	25.0	Lr	L	r	655.623346	657.223346	658.323346
659.433346	5.939199999999914	trials	1	26.0	Lm	L	m	661.5433459999999	663.143546	664.2635459999999
665.3725459999999	5.920000000000073	trials	1	27.0	Rt	R	t	667.472546	669.082546	670.182546
671.292546	5.930233333333263	trials	1	28.0	Rp	R	p	673.3927793333334	675.0027793333334	676.0942126666666
677.2227793333333	5.889400000000023	trials	1	29.0	Lp	L	p	679.3129793333333	680.913346	682.0129793333333
683.1121793333333	5.920033333333322	trials	1	30.0	Rm	R	m	685.221946	686.8219793333333	687.9219793333333
689.0322126666666	5.920133333333297	trials	1	31.0	Rr	R	r	691.1322126666666	692.742346	693.8423459999999
694.952346	5.9191999999999325	trials	1	32.0	Rt	R	t	697.052346	698.652346	699.752346
700.871546	5.950233333333358	trials	1	33.0	Lp	L	p	702.971546	704.571546	705.691546
706.8217793333333	5.9202000000000226	trials	1	34.0	Rp	R	p	708.921546	710.5217793333334	711.6217793333333
712.7419793333333	5.958999999999946	trials	1	35.0	Ri	R	i	714.8417793333333	716.4417793333333	717.5609793333333
718.7009793333333	5.9401666666666415	trials	1	36.0	Rm	R	m	720.810946	722.410946	723.5309793333333
724.6411459999999	5.9202000000000226	trials	1	37.0	Lt	L	t	726.7209793333333	728.3312126666666	729.4512126666666
730.561346	5.899000000000001	trials	1	38.0	Lr	L	r	732.661346	734.261346	735.360746
736.460346	5.9202000000000226	trials	1	39.0	Lm	L	m	738.560346	740.170546	741.270546
742.380546	5.90023333333329	trials	1	40.0	Li	L	i	744.480546	746.0805459999999	747.170546
748.2807793333333	5.919000000000096	trials	1	41.0	Rt	R	t	750.3807793333333	751.9907793333333	753.089746
754.1997793333333	5.920566666666787	trials	1	42.0	Lp	L	p	756.299946	757.9099793333332	759.009946
760.1203459999999	5.909800000000132	trials	1	43.0	Lm	L	m	762.2199459999999	763.8199793333333	764.9202126666667
766.030146	5.95920000000001	trials	1	44.0	Rm	R	m	768.1402126666667	769.740346	770.859346
771.989346	5.900200000000154	trials	1	45.0	Li	L	i	774.069346	775.6795126666666	776.779346
777.889546	5.920233333333272	trials	1	46.0	Rp	R	p	779.989546	781.5795459999999	782.6907793333332
783.8097793333334	5.918999999999983	trials	1	47.0	Ri	R	i	785.909546	787.5187793333333	788.6187793333334
789.7287793333333	5.910200000000032	trials	1	48.0	Lt	L	t	791.8287793333334	793.4289793333332	794.5289793333334
795.6389793333333	5.950233333333358	trials	1	49.0	Rr	R	r	797.7489793333333	799.3489793333333	800.4689793333333
801.5892126666666	5.929133333333311	trials	1	50.0	Lr	L	r	803.6791793333333	805.2882126666666	806.3882126666666
