onset	duration	nwb_table	Run	TrialNumber	finger	hand	finger_type	cue_on_time	cue_off_time	go_on_time
134.32365866666666	294.0607666666667	epochs	0							
134.32365866666666	3.9601333333333457	trials	0	1.0	Lm	L	m	134.453792	136.063792	137.153792
138.283792	5.9091999999999985	trials	0	2.0	Lp	L	p	140.373792	141.982792	143.072792
144.192992	5.91016666666664	trials	0	3.0	Rr	R	r	146.292992	147.892992	148.992992
150.10315866666667	5.9100666666666655	trials	0	4.0	Li	L	i	152.192992	153.79322533333334	154.89322533333333
156.01322533333334	5.899199999999979	trials	0	5.0	Ri	R	i	158.09322533333332	159.70242533333334	160.792792
161.91242533333332	5.920233333333357	trials	0	6.0	Lr	L	r	164.01242533333334	165.62242533333333	166.71242533333333
167.83265866666667	5.920133333333325	trials	0	7.0	Rp	R	p	169.93262533333333	171.542792	172.63262533333332
173.752792	5.908999999999992	trials	0	8.0	Lt	L	t	175.852792	177.461792	178.551792
179.661792	5.940200000000004	trials	0	9.0	Rm	R	m	181.771992	183.371992	184.49199199999998
185.601992	5.9202000000000226	trials	0	10.0	Rt	R	t	187.701992	189.311992	190.40365866666667
191.522192	5.919233333333352	trials	0	11.0	Rr	R	r	193.62122533333334	195.23122533333333	196.33122533333335
197.4414253333333	5.910000000000025	trials	0	12.0	Ri	R	i	199.54135866666667	201.151392	202.24142533333332
203.35142533333334	5.920233333333329	trials	0	13.0	Rm	R	m	205.46142533333335	207.061792	208.16165866666665
209.27165866666667	5.9191333333333205	trials	0	14.0	Rt	R	t	211.370792	212.980792	214.080792
215.190792	5.9302000000000135	trials	0	15.0	Lt	L	t	217.290792	218.900992	220.02099199999998
221.120992	5.920000000000016	trials	0	16.0	Li	L	i	223.210992	224.83099199999998	225.930992
227.04099200000002	5.909399999999948	trials	0	17.0	Lr	L	r	229.130192	230.74022533333334	231.83022533333332
232.950392	5.92003333333335	trials	0	18.0	Lm	L	m	235.05042533333335	236.65042533333332	237.750392
238.87042533333334	5.910199999999975	trials	0	19.0	Lp	L	p	240.97042533333334	242.57042533333333	243.670592
244.78062533333332	5.909166666666692	trials	0	20.0	Rp	R	p	246.86965866666668	248.479792	249.569792
250.689792	5.900199999999984	trials	0	21.0	Lr	L	r	252.789792	254.389792	255.46979199999998
256.589992	5.950233333333301	trials	0	22.0	Li	L	i	258.709992	260.30999199999997	261.409992
262.5402253333333	5.91900000000004	trials	0	23.0	Rm	R	m	264.629192	266.2292253333334	267.339792
268.45922533333334	5.9202000000000226	trials	0	24.0	Lt	L	t	270.539392	272.14922533333333	273.25922533333335
274.3794253333333	5.920233333333385	trials	0	25.0	Ri	R	i	276.4794253333333	278.07942533333335	279.17942533333337
280.2996586666667	5.90913333333333	trials	0	26.0	Rp	R	p	282.3986586666667	283.99865866666664	285.09865866666667
286.208792	5.899999999999977	trials	0	27.0	Rt	R	t	288.298792	289.908792	290.998792
292.108792	5.920199999999966	trials	0	28.0	Rr	R	r	294.198992	295.808992	296.91895866666664
298.028992	5.939233333333277	trials	0	29.0	Lm	L	m	300.137992	301.73799199999996	302.8382253333333
303.9682253333333	5.920166666666773	trials	0	30.0	Lp	L	p	306.0682253333333	307.67822533333333	308.76822533333336
309.888392	5.919033333333346	trials	0	31.0	Lr	L	r	311.98842533333334	313.58842533333336	314.688392
315.8074253333333	5.950166666666689	trials	0	32.0	Ri	R	i	317.9074253333333	319.50765866666666	320.62765866666666
321.757592	5.940200000000004	trials	0	33.0	Lp	L	p	323.83779200000004	325.46779200000003	326.577792
327.697792	5.9091999999999985	trials	0	34.0	Lm	L	m	329.79779199999996	331.3979586666667	332.477992
333.606992	5.940233333333367	trials	0	35.0	Lt	L	t	335.706992	337.31695866666666	338.416992
339.54722533333336	5.919999999999959	trials	0	36.0	Rm	R	m	341.6472253333333	343.2472253333333	344.3472253333333
345.4672253333333	5.909200000000055	trials	0	37.0	Rp	R	p	347.56722533333334	349.1674253333333	350.26742533333334
351.3764253333334	5.910233333333281	trials	0	38.0	Li	L	i	353.4664253333333	355.0664253333333	356.16642533333334
357.28665866666665	5.950133333333383	trials	0	39.0	Rt	R	t	359.3866586666667	360.98679200000004	362.10679200000004
363.23679200000004	5.929199999999923	trials	0	40.0	Rr	R	r	365.336792	366.93679199999997	368.036792
369.16599199999996	5.899966666666728	trials	0	41.0	Lm	L	m	371.255992	372.855992	373.95599200000004
375.0659586666667	5.900266666666653	trials	0	42.0	Lr	L	r	377.15599199999997	378.7562253333333	379.8562253333333
380.96622533333334	5.929199999999923	trials	0	43.0	Rr	R	r	383.07622533333335	384.67639199999996	385.7752253333333
386.8954253333333	5.950199999999995	trials	0	44.0	Rp	R	p	388.9954253333333	390.5954253333333	391.7154253333333
392.8456253333334	5.92016666666666	trials	0	45.0	Lt	L	t	394.94565866666665	396.54565866666667	397.6456586666667
398.76579200000003	5.908999999999992	trials	0	46.0	Li	L	i	400.86579199999994	402.46579199999996	403.5649586666667
404.674792	5.92016666666666	trials	0	47.0	Lp	L	p	406.7849586666666	408.384992	409.48495866666667
410.5949586666667	5.960266666666598	trials	0	48.0	Rt	R	t	412.70499199999995	414.3252253333334	415.43499199999997
416.5552253333333	5.909166666666749	trials	0	49.0	Ri	R	i	418.6552253333333	420.2552253333333	421.3542253333334
422.464392	5.920033333333379	trials	0	50.0	Rm	R	m	424.57442533333335	426.1744253333334	427.27435866666667
504.7134673333333	294.21099999999996	epochs	1							
504.7134673333333	3.9791999999999916	trials	1	1.0	Ri	R	i	504.8734673333333	506.4734673333333	507.5934673333333
508.6926673333333	5.910000000000025	trials	1	2.0	Rt	R	t	510.7926673333333	512.3926673333333	513.4926673333333
514.6026673333333	5.960366666666687	trials	1	3.0	Lt	L	t	516.7026673333334	518.3128673333333	519.433034
520.563034	5.908999999999992	trials	1	4.0	Lr	L	r	522.6628673333333	524.263034	525.363034
526.472034	5.940199999999891	trials	1	5.0	Rp	R	p	528.582234	530.182234	531.292034
532.412234	5.92999999999995	trials	1	6.0	Rr	R	r	534.532234	536.1422339999999	537.232234
538.342234	5.939200000000028	trials	1	7.0	Rm	R	m	540.442234	542.0524673333333	543.162034
544.281434	5.990233333333322	trials	1	8.0	Lm	L	m	546.4014673333334	548.0016673333333	549.1216673333333
550.2716673333333	5.930233333333376	trials	1	9.0	Li	L	i	552.3716673333333	553.9916673333333	555.082034
556.2019006666667	5.9191333333333205	trials	1	10.0	Lp	L	p	558.292034	559.892034	560.991034
562.121034	5.899999999999977	trials	1	11.0	Li	L	i	564.2210339999999	565.8210339999999	566.9014673333334
568.021034	5.920366666666723	trials	1	12.0	Rr	R	r	570.121234	571.731234	572.821234
573.9414006666666	5.9090666666667175	trials	1	13.0	Rp	R	p	576.0412006666667	577.6414673333334	578.740234
579.8504673333333	5.920199999999909	trials	1	14.0	Ri	R	i	581.9604673333333	583.560434	584.6604673333333
585.7706673333333	5.909999999999968	trials	1	15.0	Lp	L	p	587.8606673333334	589.4606673333333	590.5606673333333
591.6806673333333	5.913999999999987	trials	1	16.0	Rt	R	t	593.7809006666666	595.3809006666667	596.4798673333333
597.5946673333333	5.925366666666719	trials	1	17.0	Lt	L	t	599.700034	601.300034	602.400034
603.520034	5.9302000000000135	trials	1	18.0	Lm	L	m	605.620234	607.220234	608.340234
609.4502339999999	5.919233333333409	trials	1	19.0	Lr	L	r	611.5502339999999	613.159234	614.249234
615.3694673333333	5.919999999999959	trials	1	20.0	Rm	R	m	617.4694673333333	619.0694673333333	620.1694673333333
621.2894673333333	5.9302000000000135	trials	1	21.0	Li	L	i	623.3896673333334	624.9896673333333	626.1096673333333
627.2196673333333	5.919233333333409	trials	1	22.0	Rm	R	m	629.3196673333333	630.9288673333333	632.0289006666667
633.1389006666666	5.92033333333336	trials	1	23.0	Rp	R	p	635.239034	636.849034	637.949034
639.059234	5.91996666666671	trials	1	24.0	Rt	R	t	641.159034	642.7590339999999	643.859034
644.9792006666667	5.899033333333364	trials	1	25.0	Ri	R	i	647.079234	648.678234	649.7782006666666
650.878234	5.910233333333281	trials	1	26.0	Lp	L	p	652.9784673333334	654.5684673333333	655.6784673333333
656.7884673333333	5.910200000000032	trials	1	27.0	Rr	R	r	658.8784673333333	660.4886339999999	661.5784673333333
662.6986673333333	5.9191999999999325	trials	1	28.0	Lm	L	m	664.7986673333332	666.4076673333333	667.4976673333333
668.6178673333333	5.92016666666666	trials	1	29.0	Lr	L	r	670.7179006666667	672.318034	673.4179006666666
674.5380339999999	5.950199999999995	trials	1	30.0	Lt	L	t	676.638034	678.238034	679.358034
680.4882339999999	5.919000000000096	trials	1	31.0	Lr	L	r	682.5884673333333	684.197234	685.287234
686.407234	5.910233333333281	trials	1	32.0	Lm	L	m	688.5072339999999	690.1074673333333	691.2074673333333
692.3174673333333	5.9202000000000226	trials	1	33.0	Lp	L	p	694.4074673333333	696.0274673333333	697.1276673333333
698.2376673333333	5.919000000000096	trials	1	34.0	Rm	R	m	700.3276673333332	701.9466673333333	703.046634
704.1566673333333	5.940366666666705	trials	1	35.0	Lt	L	t	706.2566673333333	707.8669006666667	708.9769006666667
710.097034	5.919999999999959	trials	1	36.0	Li	L	i	712.197034	713.7970339999999	714.897034
716.017034	5.909200000000055	trials	1	37.0	Rr	R	r	718.116034	719.716234	720.816234
721.926234	5.90023333333329	trials	1	38.0	Rt	R	t	724.0162339999999	725.616234	726.716234
727.8264673333333	5.920199999999909	trials	1	39.0	Ri	R	i	729.9364673333333	731.536434	732.6364673333333
733.7466673333333	5.9389999999999645	trials	1	40.0	Rp	R	p	735.8556673333333	737.4556339999999	738.5556673333333
739.6856673333333	5.920233333333385	trials	1	41.0	Li	L	i	741.7856673333333	743.3958673333333	744.4858673333333
745.6059006666667	5.920133333333297	trials	1	42.0	Lr	L	r	747.7060339999999	749.306034	750.406034
751.526034	5.919200000000046	trials	1	43.0	Lp	L	p	753.6250339999999	755.2250339999999	756.325034
757.445234	5.919999999999959	trials	1	44.0	Lm	L	m	759.5452339999999	761.1452006666666	762.245234
763.365234	5.930233333333263	trials	1	45.0	Ri	R	i	765.4654673333333	767.0654673333333	768.1654673333333
769.2954673333334	5.939199999999914	trials	1	46.0	Lt	L	t	771.3746673333333	773.0046673333334	774.1046673333333
775.2346673333333	5.92016666666666	trials	1	47.0	Rr	R	r	777.3146673333333	778.9349006666666	780.0349006666667
781.1548339999999	5.9302000000000135	trials	1	48.0	Rp	R	p	783.255034	784.8550339999999	785.975034
787.085034	5.919200000000046	trials	1	49.0	Rt	R	t	789.184034	790.794034	791.8840339999999
793.004234	5.920233333333272	trials	1	50.0	Rm	R	m	795.1042339999999	796.704234	797.804234
